English,Concepticon_ID,Concepticon_Gloss
"all, all gone, whole",98,ALL
ant,587,ANT
arrive,1387,ARRIVE
"arrow, dart",977,ARROW
"ascend, go up, rise",705,GO UP (ASCEND)
"ashes, fireplace",185,FIREPLACE
astringent,,
bamboo,1927,BAMBOO
bamboo rat,,
bamboo strip,,
bamboo shoot,,
"bark (n.), leather, skin",2127,BARK OR SKIN
bat,1793,BAT
bathe,138,BATHE
bear (animal),1820,BEAR
bedbug,1949,BEDBUG
bee (Apis cerana),,
bee (Apis dorsata),,
believe,1890,BELIEVE
"below, under, underneath",1485,BELOW OR UNDER
"big, large",1202,BIG
bird,937,BIRD
bite (v.),1403,BITE
bitter,887,BITTER
blood,946,BLOOD
blow (a fire),176,BLOW (WITH MOUTH)
boar (wild~),3154,WILD BOAR
boat,1844,BOAT
body dirt,,
boil (v.),2492,BOIL (SOMETHING)
bone,1394,BONE
braid,1043,BRAID
brain,1583,BRAIN
"bran,chaff",2362,BRAN
breasts,1402,BREAST
"broken, split, separate",588,BROKEN
buffalo,934,BUFFALO
buy,1869,BUY
caress,,
carry (on the back),465,CARRY ON BACK
caterpillar,2247,CATERPILLAR
catfish,,
"carapace, shell",598,SHELL
centipede,1974,CENTIPEDE
chameleon,1555,CHAMELEON
charcoal,1188,CHARCOAL
chicken,1318,CHICKEN
"chili pepper, pungent",919,CHILI PEPPER
"chin, jaw",1510,CHIN
cicada,2353,CICADA
civet cat,3157,CIVET
classifier (hand of bananas),,
classifier for flat objects,,
"classifier for people, persons",,
"classifier for a piece of meat, cake, etc.",,
"classifier for plants, e.g. bamboo, rice, banana etc. (clumps, clusters)",,
classfier for round objects,,
classifier for long objects,,
classifier for four-legged animals,,
close (one,,
comb (v.),2070,COMB (VERB)
cotton thread,1161,THREAD
cough (v.),879,COUGH
crab,2348,CRAB
cricket,2354,CRICKET
crocodile,1857,CROCODILE
"crop (of fowl), gizzard",,
cross (v.),2818,FORD (CROSSING)
crossbow,3193,CROSSBOW
crow (v.),2074,CROW (VERB)
crush (v.),1520,CRUSH
cucumber,496,CUCUMBER
"dark, late evening",11,DARKNESS
daughter-in-law,1057,DAUGHTER-IN-LAW
day,1225,DAY (NOT NIGHT)
"dead,die",2101,BE DEAD OR DIE
deaf,458,DEAF PERSON
deep,1593,DEEP
deer (barking~),,
deer (sambha ~),,
delicious,1813,TASTY
"descent, go down, set",2014,GO DOWN (DESCEND)
dig,1418,DIG
dip up,,
Dipterocarpus tuberculatus Roxb,,
"disappear, lost",485,DISAPPEAR
dog,2009,DOG
"do, make",2575,DO OR MAKE
dove,1853,DOVE
dream (v.),1920,DREAM (SOMETHING)
drink(v.),1401,DRINK
dry(v.),2015,MAKE DRY
drunk,1463,DRUNK
"dung, excrement",2057,DUNG (ANIMAL FAECES)
ear,1247,EAR
earthworm,2350,EARTHWORM
easy,686,EASY
eat,1336,EAT
egg,744,EGG
eggplant,1146,AUBERGINE
eight,1705,EIGHT
elephant,1290,ELEPHANT
"embrace, hug",928,EMBRACE
enter,749,ENTER
exert forcing to expel,,
extinguish (t.v.),127,EXTINGUISH
