ID	ALIGNMENT	COGID	COGIDS	CONCEPT	DOCULECT	FORM	TOKENS	VALUE	MORPHEMES	NOTE
1	l o.ʔ/ʔ̚ ᴰ/⁵¹	1	10	all, all gone, whole	ProtoKaren	*loɁᴰ	l o.ʔ/ʔ̚ ᴰ/⁵¹	*loɁᴰ		
2	d ə.ŋ ᴮ/¹¹	2	21	ant	ProtoKaren	*dəŋᴮ	d ə.ŋ ᴮ/¹¹	*dəŋᴮ		
3	!t/d ə ᴮ/¹¹	3	33	arrive	ProtoKaren	*təᴮ	!t/d ə ᴮ/¹¹	*təᴮ		Pattern suggests *d for Proto-Karen
4	b.l a ᴮ/¹¹	4	46	arrow, dart	ProtoKaren	*blaᴮ	b.l a ᴮ/¹¹	*blaᴮ	arrow	
5	tʰ a.ŋ ᴮ/¹¹	5	59	ascend, go up, rise	ProtoKaren	*thaŋᴮ	tʰ a.ŋ ᴮ/¹¹	*thaŋᴮ		
6	pʰ a ᴮ/¹¹	6	72	ashes, fireplace	ProtoKaren	*phaᴮ	pʰ a ᴮ/¹¹	*phaᴮ		
7	k.j a.ʔ/ʔ̚ ᴰ/⁵¹	7	81	astringent	ProtoKaren	*kjaɁᴰ	k.j a.ʔ/ʔ̚ ᴰ/⁵¹	*kjaɁᴰ		
8	h.w a ᴮ/¹¹	8	91	bamboo	ProtoKaren	*hwaᴮ	h.w a ᴮ/¹¹	*hwaᴮ		
9	kʰ a.!n/ŋ ᴬ/⁵⁵	9	103	bamboo rat	ProtoKaren	*khanᴬ	kʰ a.!n/ŋ ᴬ/⁵⁵	*(jowᴮ)khanᴬ	bamboo-rat	
10	s.r a ᴬ/⁵⁵	10	126	bamboo strip	ProtoKaren	*sraᴬ	s.r a ᴬ/⁵⁵	*sraᴬ		
11	ˀb a.ŋ ᴮ/¹¹	11	114	bamboo shoot	ProtoKaren	*Ɂbaŋᴮ	ˀb a.ŋ ᴮ/¹¹	*Ɂbaŋᴮ		
12	pʰ e.ʔ/ʔ̚ ᴰ/⁵¹	12	138	bark (n.), leather, skin	ProtoKaren	*pheɁᴰ	pʰ e.ʔ/ʔ̚ ᴰ/⁵¹	*pheɁᴰ		
13	p.l a ᴬᴮ/⁵⁵	13	149	bat	ProtoKaren	*plaᴬᴮ	p.l a ᴬᴮ/⁵⁵	*plaᴬ/ᴮ		
14	hl/l̥ ou ᴮ/¹¹	14	161	bathe	ProtoKaren	*hlowᴮ	hl/l̥ ou ᴮ/¹¹	*hlowᴮ		
